"Key","Type","Author","Title","Journal","Year","Volume","Number","Pages","DOI","URL"
"Lucas1878","article","Lucas, {\'E}douard","Th{\'e}orie des fonctions num{\'e}riques simplement p{\'e}riodiques","American Journal of Mathematics","1878","1","2","184--240","10.2307/2369308",""
"Wall1960","article","Wall, D. D.","{F}ibonacci series modulo $m$","The American Mathematical Monthly","1960","67","6","525--532","10.1080/00029890.1960.11989541",""
"Robinson1963","article","Robinson, D. W.","The {F}ibonacci matrix modulo $m$","The Fibonacci Quarterly","1963","1","2","29--36","10.1080/00150517.1963.12431577",""
"Vinson1963","article","Vinson, John","The relation of the period modulo $m$ to the rank of apparition of $m$ in the {F}ibonacci sequence","The Fibonacci Quarterly","1963","1","2","37--45","10.1080/00150517.1963.12431578",""
"GuptaRockstrohSu2012","article","Gupta, Sanjai and Rockstroh, Parousia and Su, Francis E.","Splitting fields and periods of {F}ibonacci sequences modulo primes","Mathematics Magazine","2012","85","2","130--135","10.4169/math.mag.85.2.130",""
"Renault2013","article","Renault, Marc","The period, rank, and order of the $(a,b)$-{F}ibonacci sequence modulo $m$","Mathematics Magazine","2013","86","5","372--380","10.4169/math.mag.86.5.372",""
"Vajda1989","book","Vajda, Steven","{F}ibonacci and {L}ucas Numbers, and the Golden Section: Theory and Applications","","1989","","","","",""
"Koshy2001","book","Koshy, Thomas","{F}ibonacci and {L}ucas Numbers with Applications","","2001","","","","10.1002/9781118033067",""
"IrelandRosen1990","book","Ireland, Kenneth and Rosen, Michael","A Classical Introduction to Modern Number Theory","","1990","84","","","",""
"BerndtEvansWilliams1998","book","Berndt, Bruce C. and Evans, Ronald J. and Williams, enneth S.","{G}auss and {J}acobi Sums","","1998","","","xxviii+583","",""
"Lemmermeyer2000","book","Lemmermeyer, Franz","Reciprocity Laws: From {E}uler to {E}isenstein","","2000","","","","",""
"Williams1982","article","Williams, H. C.","A note on the {F}ibonacci quotient $F_{p-\varepsilon}/p$","Canadian Mathematical Bulletin","1982","25","3","366--370","10.4153/CMB-1982-053-0",""
"SunSun1992","article","Sun, Zhi-Hong and Sun, Zhi-Wei","{F}ibonacci numbers and {F}ermat's last theorem","Acta Arithmetica","1992","60","4","371--388","10.4064/aa-60-4-371-388",""
"Sun2003","article","Sun, Zhi-Wei","Congruences for {F}ibonacci numbers","Acta Arithmetica","2003","109","4","325--344","10.4064/aa-109-4-325-344",""
"BallotElia2007","article","Ballot, Christian and Elia, Michele","Rank and period of primes in the {F}ibonacci sequence. {A} trichotomy","The Fibonacci Quarterly","2007","45","1","56--63","10.1080/00150517.2007.12428243",""
"SomerKrizek2015","article","{Somer","On primes in {L}ucas sequences","The Fibonacci Quarterly","2015","53","1","2--23","10.1080/00150517.2015.12428283",""
"Sun2019","article","Sun, Zhi-Wei","New observations on primitive roots modulo primes","Nanjing Univ. J. Math. Biquarterly","2019","36","2","108--133","","https://arxiv.org/abs/1405.0290"
"FiebigMbirikaSpilker2025","article","Fiebig, Morgan and Mbirika, {aBa} and Spilker, J{\""u}rgen","Period patterns, entry points, and orders in the {L}ucas sequences: theory and applications","The Fibonacci Quarterly","2025","63","2","345--376","10.1080/00150517.2024.2442591",""
"HajduTijdeman2025","article","Hajdu, Lajos and Tijdeman, Robert","Integers represented by {L}ucas sequences","The Ramanujan Journal","2025","66","4","Article 74","10.1007/s11139-025-01041-6",""
"BragmanRowland2025","article","Bragman, Nicholas and Rowland, Eric","Limiting density of the {F}ibonacci sequence modulo powers of a prime","Research in Number Theory","2025","11","4","Article 88","10.1007/s40993-025-00667-1",""
"Hooley1967","article","Hooley, Christopher","On {A}rtin's conjecture","Journal f{\""u}r die reine und angewandte Mathematik","1967","225","","209--220","10.1515/crll.1967.225.209",""
"Moree2012","article","Moree, Pieter","{Artin}'s primitive root conjecture---a survey","Integers","2012","12","6","1305--1416","10.1515/integers-2012-0043",""
"Shanks1972","article","Shanks, Daniel","{F}ibonacci primitive roots","The Fibonacci Quarterly","1972","10","2","163--168, 181","10.1080/00150517.1972.12430955",""
"ShanksTaylor1973","article","Shanks, Daniel and Taylor, Larry","An observation on {F}ibonacci primitive roots","The Fibonacci Quarterly","1973","11","2","159--160","",""
"DeLeon1977","article","De Leon, M. J.","{F}ibonacci primitive roots and the period of the {F}ibonacci numbers modulo $p$","The Fibonacci Quarterly","1977","15","4","353--355","",""
"Sander1990","article","Sander, J. W.","On {F}ibonacci primitive roots","The Fibonacci Quarterly","1990","28","1","79--80","",""
"JavaheriKrylov2020","article","Javaheri, Mohammad and Krylov, Nikolai A.","Complete generalized {F}ibonacci sequences modulo primes","Moscow Journal of Combinatorics and Number Theory","2020","9","1","1--15","10.2140/moscow.2020.9.1",""
"Ghandali2026","misc","Ghandali, Majid","{FibChar v1.0.1}: Reproducibility Materials for
                  ``An Explicit Evaluation of a {F}ibonacci Character Sum
                  for Primes with Full Rank of Apparition''","","2026","","","","10.5281/zenodo.21431565","https://doi.org/10.5281/zenodo.21431565"
