"Key","BibDOI","ResolvedDOI","Registry","Status","BibTitle","ResolvedTitle","Container","Year","Volume","Issue","Page","ArticleNumber","Publisher","URL","Error"
"Lucas1878","10.2307/2369308","10.2307/2369308","Crossref","OK","Th{\'e}orie des fonctions num{\'e}riques simplement p{\'e}riodiques","Theorie des Fonctions Numeriques Simplement Periodiques","American Journal of Mathematics","1878","1","2","184",,"JSTOR","https://doi.org/10.2307/2369308",""
"Wall1960","10.1080/00029890.1960.11989541","10.1080/00029890.1960.11989541","Crossref","OK","{F}ibonacci series modulo $m$","Fibonacci Series Modulo <i>m</i>","The American Mathematical Monthly","1960","67","6","525-532",,"Informa UK Limited","https://doi.org/10.1080/00029890.1960.11989541",""
"Robinson1963","10.1080/00150517.1963.12431577","10.1080/00150517.1963.12431577","Crossref","OK","The {F}ibonacci matrix modulo $m$","The Fibonacci Matrix Modulo m","The Fibonacci Quarterly","1963","1","2","29-36",,"Informa UK Limited","https://doi.org/10.1080/00150517.1963.12431577",""
"Vinson1963","10.1080/00150517.1963.12431578","10.1080/00150517.1963.12431578","Crossref","OK","The relation of the period modulo $m$ to the rank of
             apparition of $m$ in the {F}ibonacci sequence","The Relation of the Period Modulo m to the Rank of Apparition of m in the Fibonacci Sequence","The Fibonacci Quarterly","1963","1","2","37-46",,"Informa UK Limited","https://doi.org/10.1080/00150517.1963.12431578",""
"Renault2013","10.4169/math.mag.86.5.372","10.4169/math.mag.86.5.372","Crossref","OK","The period, rank, and order of the $(a,b)$-{F}ibonacci sequence
             modulo $m$","The Period, Rank, and Order of the (<i>a</i>,<i>b</i>)-Fibonacci Sequence Mod<i>m</i>","Mathematics Magazine","2013","86","5","372-380",,"Informa UK Limited","https://doi.org/10.4169/math.mag.86.5.372",""
"GuptaRockstrohSu2012","10.4169/math.mag.85.2.130","10.4169/math.mag.85.2.130","Crossref","OK","Splitting fields and periods of {F}ibonacci sequences modulo primes","Splitting Fields and Periods of Fibonacci Sequences Modulo Primes","Mathematics Magazine","2012","85","2","130-135",,"Informa UK Limited","https://doi.org/10.4169/math.mag.85.2.130",""
"Williams1982","10.4153/CMB-1982-053-0","10.4153/cmb-1982-053-0","Crossref","OK","A note on the {F}ibonacci quotient
              $F_{p-\varepsilon}/p$","A Note on the Fibonacci Quotient <i>F</i><sub>p-ε</sub>/<i>p</i>","Canadian Mathematical Bulletin","1982","25","3","366-370",,"Canadian Mathematical Society","https://doi.org/10.4153/cmb-1982-053-0",""
"Sun1992","10.4064/aa-60-4-371-388","10.4064/aa-60-4-371-388","Crossref","OK","{F}ibonacci numbers and {F}ermat's last theorem","Fibonacci numbers and Fermat's last theorem","Acta Arithmetica","1992","60","4","371-388",,"Institute of Mathematics, Polish Academy of Sciences","https://doi.org/10.4064/aa-60-4-371-388",""
"Sun2019","10.48550/arXiv.1405.0290","10.48550/arxiv.1405.0290","DataCite","OK","New observations on primitive roots modulo primes","New observations on primitive roots modulo primes","arXiv","2014","","","","","arXiv","https://arxiv.org/abs/1405.0290",""
"BallotElia2007","10.1080/00150517.2007.12428243","10.1080/00150517.2007.12428243","Crossref","OK","Rank and period of primes in the {F}ibonacci sequence.
              {A} trichotomy","Rank and period of primes in the Fibonacci sequence. A trichotomy","The Fibonacci Quarterly","2007","45","1","56-63",,"Informa UK Limited","https://doi.org/10.1080/00150517.2007.12428243",""
"SomerKrizek2014","10.1080/00150517.2015.12428283","10.1080/00150517.2015.12428283","Crossref","OK","On primes in {L}ucas sequences","On Primes in Lucas Sequences","The Fibonacci Quarterly","2015","53","1","2-23",,"Informa UK Limited","https://doi.org/10.1080/00150517.2015.12428283",""
"FiebigMbirikaSpilker2025","10.48550/arXiv.2408.14632","10.48550/arxiv.2408.14632","DataCite","OK","Period patterns, entry points, and orders in the
                   {L}ucas sequences: theory and applications","Period patterns, entry points, and orders in the Lucas sequences: theory and applications","arXiv","2024","","","","","arXiv","https://arxiv.org/abs/2408.14632",""
"HajduTijdeman2025","10.1007/s11139-025-01041-6","10.1007/s11139-025-01041-6","Crossref","OK","Integers represented by {L}ucas sequences","Integers represented by Lucas sequences","The Ramanujan Journal","2025","66","4",,"74","Springer Science and Business Media LLC","https://doi.org/10.1007/s11139-025-01041-6",""
"BragmanRowland2025","10.1007/s40993-025-00667-1","10.1007/s40993-025-00667-1","Crossref","OK","Limiting density of the {F}ibonacci sequence modulo
             powers of a prime","Limiting density of the Fibonacci sequence modulo powers of a prime","Research in Number Theory","2025","11","4",,"88","Springer Science and Business Media LLC","https://doi.org/10.1007/s40993-025-00667-1",""
"Hooley1967","10.1515/crll.1967.225.209","10.1515/crll.1967.225.209","Crossref","OK","On {A}rtin's conjecture","On Artin's conjecture.","Journal für die reine und angewandte Mathematik (Crelles Journal)","1967","1967","225","209-220",,"Walter de Gruyter GmbH","https://doi.org/10.1515/crll.1967.225.209",""
"Moree2012","10.1515/integers-2012-0043","10.1515/integers-2012-0043","Crossref","OK","{Artin}'s primitive root conjecture---a survey","Artin's Primitive Root Conjecture – A Survey","Integers","2012","12","6",,,"Walter de Gruyter GmbH","https://doi.org/10.1515/integers-2012-0043",""
"Ghandali2026","10.5281/zenodo.20707467","10.5281/zenodo.20707467","DataCite","OK","{A} {F}ibonacci Character Sum Identity for Primes of Full
                  Rank of Apparition","A Fibonacci Character Sum Identity for Primes of Full Rank of Apparition","Zenodo","2026","","","","","Zenodo","https://zenodo.org/doi/10.5281/zenodo.20707467",""
