p,p_mod40,S_p,sgn
11,11,1,1
19,19,-1,-1
31,31,1,1
59,19,-1,-1
71,31,1,1
79,39,-1,-1
131,11,1,1
179,19,-1,-1
191,31,1,1
239,39,-1,-1
251,11,1,1
271,31,1,1
311,31,1,1
359,39,-1,-1
379,19,-1,-1
419,19,-1,-1
431,31,1,1
439,39,-1,-1
479,39,-1,-1
491,11,1,1
499,19,-1,-1
571,11,1,1
599,39,-1,-1
631,31,1,1
659,19,-1,-1
719,39,-1,-1
739,19,-1,-1
751,31,1,1
839,39,-1,-1
971,11,1,1
1019,19,-1,-1
1039,39,-1,-1
1051,11,1,1
1091,11,1,1
1171,11,1,1
1259,19,-1,-1
1319,39,-1,-1
1399,39,-1,-1
1439,39,-1,-1
1451,11,1,1
1459,19,-1,-1
1499,19,-1,-1
1531,11,1,1
1559,39,-1,-1
1571,11,1,1
1619,19,-1,-1
1759,39,-1,-1
1811,11,1,1
1831,31,1,1
1879,39,-1,-1
1931,11,1,1
1979,19,-1,-1
2011,11,1,1
2039,39,-1,-1
2099,19,-1,-1
2111,31,1,1
2131,11,1,1
2311,31,1,1
2339,19,-1,-1
2351,31,1,1
2399,39,-1,-1
2411,11,1,1
2459,19,-1,-1
2531,11,1,1
2539,19,-1,-1
2551,31,1,1
2579,19,-1,-1
2671,31,1,1
2699,19,-1,-1
2711,31,1,1
2719,39,-1,-1
2791,31,1,1
2819,19,-1,-1
2851,11,1,1
2879,39,-1,-1
2939,19,-1,-1
2971,11,1,1
2999,39,-1,-1
3011,11,1,1
3019,19,-1,-1
3119,39,-1,-1
3191,31,1,1
3259,19,-1,-1
3319,39,-1,-1
3359,39,-1,-1
3371,11,1,1
3491,11,1,1
3511,31,1,1
3539,19,-1,-1
3559,39,-1,-1
3659,19,-1,-1
3671,31,1,1
3691,11,1,1
3719,39,-1,-1
3779,19,-1,-1
3911,31,1,1
3931,11,1,1
4019,19,-1,-1
4079,39,-1,-1
4091,11,1,1
4099,19,-1,-1
4111,31,1,1
4139,19,-1,-1
4211,11,1,1
4219,19,-1,-1
4259,19,-1,-1
4271,31,1,1
4339,19,-1,-1
4451,11,1,1
4519,39,-1,-1
4591,31,1,1
4639,39,-1,-1
4679,39,-1,-1
4799,39,-1,-1
4919,39,-1,-1
4931,11,1,1
4951,31,1,1
4999,39,-1,-1
5011,11,1,1
5039,39,-1,-1
5051,11,1,1
5099,19,-1,-1
5119,39,-1,-1
5171,11,1,1
5179,19,-1,-1
5231,31,1,1
5279,39,-1,-1
5351,31,1,1
5399,39,-1,-1
5419,19,-1,-1
5431,31,1,1
5471,31,1,1
5479,39,-1,-1
5519,39,-1,-1
5639,39,-1,-1
5651,11,1,1
5659,19,-1,-1
5711,31,1,1
5791,31,1,1
5851,11,1,1
5879,39,-1,-1
5939,19,-1,-1
6131,11,1,1
6151,31,1,1
6199,39,-1,-1
6299,19,-1,-1
6311,31,1,1
6359,39,-1,-1
6379,19,-1,-1
6451,11,1,1
6551,31,1,1
6571,11,1,1
6599,39,-1,-1
6659,19,-1,-1
6719,39,-1,-1
6779,19,-1,-1
6791,31,1,1
6899,19,-1,-1
6911,31,1,1
6959,39,-1,-1
6971,11,1,1
7019,19,-1,-1
7039,39,-1,-1
7079,39,-1,-1
7151,31,1,1
7159,39,-1,-1
7331,11,1,1
7351,31,1,1
7411,11,1,1
7459,19,-1,-1
7499,19,-1,-1
7559,39,-1,-1
7591,31,1,1
7691,11,1,1
7699,19,-1,-1
7759,39,-1,-1
7919,39,-1,-1
7951,31,1,1
8039,39,-1,-1
8111,31,1,1
8179,19,-1,-1
8191,31,1,1
8219,19,-1,-1
8231,31,1,1
8291,11,1,1
8311,31,1,1
8419,19,-1,-1
8431,31,1,1
8539,19,-1,-1
8699,19,-1,-1
8719,39,-1,-1
8779,19,-1,-1
8819,19,-1,-1
8839,39,-1,-1
8951,31,1,1
8999,39,-1,-1
9059,19,-1,-1
9199,39,-1,-1
9239,39,-1,-1
9311,31,1,1
9391,31,1,1
9419,19,-1,-1
9479,39,-1,-1
9491,11,1,1
9511,31,1,1
9539,19,-1,-1
9551,31,1,1
9619,19,-1,-1
9631,31,1,1
9719,39,-1,-1
9791,31,1,1
9811,11,1,1
9839,39,-1,-1
9851,11,1,1
9859,19,-1,-1
9871,31,1,1
10039,39,-1,-1
10079,39,-1,-1
10091,11,1,1
10111,31,1,1
10139,19,-1,-1
10151,31,1,1
10159,39,-1,-1
10211,11,1,1
10259,19,-1,-1
10271,31,1,1
10331,11,1,1
10399,39,-1,-1
10499,19,-1,-1
10559,39,-1,-1
10631,31,1,1
10639,39,-1,-1
10651,11,1,1
10739,19,-1,-1
10799,39,-1,-1
10831,31,1,1
10859,19,-1,-1
11059,19,-1,-1
11171,11,1,1
11251,11,1,1
11279,39,-1,-1
11299,19,-1,-1
11311,31,1,1
11351,31,1,1
11399,39,-1,-1
11411,11,1,1
11471,31,1,1
11491,11,1,1
11519,39,-1,-1
11551,31,1,1
11579,19,-1,-1
11699,19,-1,-1
11731,11,1,1
11779,19,-1,-1
11831,31,1,1
11939,19,-1,-1
11971,11,1,1
12119,39,-1,-1
12239,39,-1,-1
12251,11,1,1
12479,39,-1,-1
12491,11,1,1
12511,31,1,1
12539,19,-1,-1
12611,11,1,1
12619,19,-1,-1
12659,19,-1,-1
12671,31,1,1
12739,19,-1,-1
12791,31,1,1
12799,39,-1,-1
12899,19,-1,-1
12919,39,-1,-1
13099,19,-1,-1
13151,31,1,1
13171,11,1,1
13219,19,-1,-1
13259,19,-1,-1
13291,11,1,1
13331,11,1,1
13399,39,-1,-1
13411,11,1,1
13499,19,-1,-1
13619,19,-1,-1
13691,11,1,1
13711,31,1,1
13751,31,1,1
13799,39,-1,-1
13831,31,1,1
13859,19,-1,-1
13879,39,-1,-1
13931,11,1,1
13999,39,-1,-1
14159,39,-1,-1
14411,11,1,1
14419,19,-1,-1
14431,31,1,1
14479,39,-1,-1
14519,39,-1,-1
14551,31,1,1
14639,39,-1,-1
14699,19,-1,-1
14731,11,1,1
14759,39,-1,-1
14831,31,1,1
14851,11,1,1
14879,39,-1,-1
14891,11,1,1
14939,19,-1,-1
14951,31,1,1
15091,11,1,1
15131,11,1,1
15199,39,-1,-1
15259,19,-1,-1
15271,31,1,1
15299,19,-1,-1
15319,39,-1,-1
15331,11,1,1
15359,39,-1,-1
15391,31,1,1
15439,39,-1,-1
15551,31,1,1
15619,19,-1,-1
15671,31,1,1
15679,39,-1,-1
15731,11,1,1
15739,19,-1,-1
15859,19,-1,-1
15959,39,-1,-1
15971,11,1,1
15991,31,1,1
16111,31,1,1
16139,19,-1,-1
16231,31,1,1
16319,39,-1,-1
16451,11,1,1
16619,19,-1,-1
16631,31,1,1
16651,11,1,1
16691,11,1,1
16699,19,-1,-1
16759,39,-1,-1
16811,11,1,1
16879,39,-1,-1
16979,19,-1,-1
17099,19,-1,-1
17159,39,-1,-1
17191,31,1,1
17239,39,-1,-1
17419,19,-1,-1
17471,31,1,1
17519,39,-1,-1
17539,19,-1,-1
17551,31,1,1
17579,19,-1,-1
17791,31,1,1
17839,39,-1,-1
17891,11,1,1
17911,31,1,1
17939,19,-1,-1
17959,39,-1,-1
17971,11,1,1
18059,19,-1,-1
18119,39,-1,-1
18131,11,1,1
18191,31,1,1
18199,39,-1,-1
18251,11,1,1
18311,31,1,1
18371,11,1,1
18379,19,-1,-1
18439,39,-1,-1
18539,19,-1,-1
18671,31,1,1
18691,11,1,1
18719,39,-1,-1
18731,11,1,1
18839,39,-1,-1
18859,19,-1,-1
18899,19,-1,-1
18911,31,1,1
18919,39,-1,-1
18959,39,-1,-1
18979,19,-1,-1
19031,31,1,1
19051,11,1,1
19079,39,-1,-1
19139,19,-1,-1
19211,11,1,1
19219,19,-1,-1
19231,31,1,1
19259,19,-1,-1
19319,39,-1,-1
19379,19,-1,-1
19391,31,1,1
19531,11,1,1
19571,11,1,1
19739,19,-1,-1
19751,31,1,1
19819,19,-1,-1
19919,39,-1,-1
19979,19,-1,-1
19991,31,1,1
20011,11,1,1
20051,11,1,1
20219,19,-1,-1
20231,31,1,1
20359,39,-1,-1
20411,11,1,1
20479,39,-1,-1
20551,31,1,1
20599,39,-1,-1
20611,11,1,1
20639,39,-1,-1
20719,39,-1,-1
20731,11,1,1
20759,39,-1,-1
20771,11,1,1
20879,39,-1,-1
20899,19,-1,-1
20939,19,-1,-1
21011,11,1,1
21019,19,-1,-1
21059,19,-1,-1
21139,19,-1,-1
21179,19,-1,-1
21319,39,-1,-1
21391,31,1,1
21419,19,-1,-1
21491,11,1,1
21559,39,-1,-1
21599,39,-1,-1
21611,11,1,1
21739,19,-1,-1
21799,39,-1,-1
21839,39,-1,-1
21851,11,1,1
21859,19,-1,-1
21911,31,1,1
22051,11,1,1
22079,39,-1,-1
22159,39,-1,-1
22259,19,-1,-1
22271,31,1,1
22279,39,-1,-1
22391,31,1,1
22511,31,1,1
22571,11,1,1
22619,19,-1,-1
22639,39,-1,-1
22651,11,1,1
22679,39,-1,-1
22691,11,1,1
22699,19,-1,-1
22739,19,-1,-1
22751,31,1,1
22811,11,1,1
22859,19,-1,-1
22871,31,1,1
23039,39,-1,-1
23099,19,-1,-1
23131,11,1,1
23159,39,-1,-1
23251,11,1,1
23279,39,-1,-1
23291,11,1,1
23339,19,-1,-1
23399,39,-1,-1
23431,31,1,1
23459,19,-1,-1
23531,11,1,1
23719,39,-1,-1
23819,19,-1,-1
23831,31,1,1
23879,39,-1,-1
23899,19,-1,-1
24019,19,-1,-1
24071,31,1,1
24091,11,1,1
24151,31,1,1
24239,39,-1,-1
24251,11,1,1
24359,39,-1,-1
24371,11,1,1
24379,19,-1,-1
24419,19,-1,-1
24439,39,-1,-1
24499,19,-1,-1
24551,31,1,1
24611,11,1,1
24659,19,-1,-1
24671,31,1,1
24851,11,1,1
24919,39,-1,-1
24971,11,1,1
24979,19,-1,-1
25219,19,-1,-1
25339,19,-1,-1
25391,31,1,1
25411,11,1,1
25439,39,-1,-1
25579,19,-1,-1
25639,39,-1,-1
25679,39,-1,-1
25759,39,-1,-1
25771,11,1,1
25799,39,-1,-1
25919,39,-1,-1
25999,39,-1,-1
26099,19,-1,-1
26119,39,-1,-1
26171,11,1,1
26251,11,1,1
26339,19,-1,-1
26371,11,1,1
26399,39,-1,-1
26431,31,1,1
26459,19,-1,-1
26539,19,-1,-1
26591,31,1,1
