p,mod20,alpha,T_alpha,r1,r2,chi_r1,chi_r2,r_minus,r_plus,ord_minus_rminus_squared,ord_r_minus,chi_rminus_minus_rplus,predicted_sign,ok_roots,ok_ord_minus_rminus_squared,ok_ord_r_minus,ok_sign,ok_Talpha_equals_sign,ok_Talpha_equals_predicted,passes,error
11,11,10,1,8,4,-1,1,8,4,10,10,1,1,True,True,True,True,True,True,True,
19,19,18,-1,5,15,1,-1,15,5,18,18,-1,-1,True,True,True,True,True,True,True,
31,11,30,1,13,19,-1,1,13,19,30,30,1,1,True,True,True,True,True,True,True,
59,19,58,-1,26,34,1,-1,34,26,58,58,-1,-1,True,True,True,True,True,True,True,
71,11,70,1,63,9,-1,1,63,9,70,70,1,1,True,True,True,True,True,True,True,
79,19,78,-1,50,30,1,-1,30,50,78,78,-1,-1,True,True,True,True,True,True,True,
131,11,130,1,120,12,-1,1,120,12,130,130,1,1,True,True,True,True,True,True,True,
179,19,178,-1,75,105,1,-1,105,75,178,178,-1,-1,True,True,True,True,True,True,True,
191,11,190,1,89,103,-1,1,89,103,190,190,1,1,True,True,True,True,True,True,True,
239,19,238,-1,16,224,1,-1,224,16,238,238,-1,-1,True,True,True,True,True,True,True,
251,11,250,1,134,118,-1,1,134,118,250,250,1,1,True,True,True,True,True,True,True,
271,11,270,1,255,17,-1,1,255,17,270,270,1,1,True,True,True,True,True,True,True,
311,11,310,1,59,253,-1,1,59,253,310,310,1,1,True,True,True,True,True,True,True,
359,19,358,-1,254,106,1,-1,106,254,358,358,-1,-1,True,True,True,True,True,True,True,
379,19,378,-1,20,360,1,-1,360,20,378,378,-1,-1,True,True,True,True,True,True,True,
419,19,418,-1,21,399,1,-1,399,21,418,418,-1,-1,True,True,True,True,True,True,True,
431,11,430,1,341,91,-1,1,341,91,430,430,1,1,True,True,True,True,True,True,True,
439,19,438,-1,70,370,1,-1,370,70,438,438,-1,-1,True,True,True,True,True,True,True,
479,19,478,-1,251,229,1,-1,229,251,478,478,-1,-1,True,True,True,True,True,True,True,
491,11,490,1,74,418,-1,1,74,418,490,490,1,1,True,True,True,True,True,True,True,
499,19,498,-1,225,275,1,-1,275,225,498,498,-1,-1,True,True,True,True,True,True,True,
571,11,570,1,298,274,-1,1,298,274,570,570,1,1,True,True,True,True,True,True,True,
599,19,598,-1,25,575,1,-1,575,25,598,598,-1,-1,True,True,True,True,True,True,True,
631,11,630,1,110,522,-1,1,110,522,630,630,1,1,True,True,True,True,True,True,True,
659,19,658,-1,459,201,1,-1,201,459,658,658,-1,-1,True,True,True,True,True,True,True,
719,19,718,-1,390,330,1,-1,330,390,718,718,-1,-1,True,True,True,True,True,True,True,
739,19,738,-1,621,119,1,-1,119,621,738,738,-1,-1,True,True,True,True,True,True,True,
751,11,750,1,541,211,-1,1,541,211,750,750,1,1,True,True,True,True,True,True,True,
839,19,838,-1,342,498,1,-1,498,342,838,838,-1,-1,True,True,True,True,True,True,True,
971,11,970,1,798,174,-1,1,798,174,970,970,1,1,True,True,True,True,True,True,True,
1019,19,1018,-1,494,526,1,-1,526,494,1018,1018,-1,-1,True,True,True,True,True,True,True,
1039,19,1038,-1,753,287,1,-1,287,753,1038,1038,-1,-1,True,True,True,True,True,True,True,
1051,11,1050,1,73,979,-1,1,73,979,1050,1050,1,1,True,True,True,True,True,True,True,
1091,11,1090,1,212,880,-1,1,212,880,1090,1090,1,1,True,True,True,True,True,True,True,
1171,11,1170,1,1058,114,-1,1,1058,114,1170,1170,1,1,True,True,True,True,True,True,True,
1259,19,1258,-1,36,1224,1,-1,1224,36,1258,1258,-1,-1,True,True,True,True,True,True,True,
1319,19,1318,-1,400,920,1,-1,920,400,1318,1318,-1,-1,True,True,True,True,True,True,True,
