p,mod4,mod5,mod8,mod20,chi_minus1,chi_5,signature,pisano,v2_pisano,alpha,pi_over_alpha,s,chi_s,T_alpha,S_p,abs_S,plus,minus,zeros,density_plus,is_Z
2,2,2,2,2,0,0,special,3,0,3,1,1,1,2,2,2,2,0,1,1.0,False
3,3,3,3,3,-1,-1,DI,8,3,4,2,2,-1,1,0,0,3,3,2,0.5,True
5,1,0,5,5,0,0,special,20,2,5,4,3,-1,0,0,0,8,8,4,0.5,True
7,3,2,7,7,-1,-1,DI,16,4,8,2,6,-1,1,0,0,7,7,2,0.5,True
11,3,1,3,11,-1,1,cm_only,10,1,10,1,1,1,1,1,1,5,4,1,0.5555555555555556,False
13,1,3,5,13,1,-1,fib_only,28,2,7,4,8,-1,0,0,0,12,12,4,0.5,True
17,1,2,1,17,1,-1,fib_only,36,2,9,4,4,1,4,16,16,24,8,4,0.75,False
19,3,4,3,19,-1,1,cm_only,18,1,18,1,1,1,-1,-1,1,8,9,1,0.47058823529411764,False
23,3,3,7,3,-1,-1,DI,48,4,24,2,22,-1,7,0,0,23,23,2,0.5,True
29,1,4,5,9,1,1,neither,14,1,14,1,1,1,1,1,1,7,6,1,0.5384615384615384,False
31,3,1,7,11,-1,1,cm_only,30,1,30,1,1,1,1,1,1,15,14,1,0.5172413793103449,False
37,1,2,5,17,1,-1,fib_only,76,2,19,4,31,-1,0,0,0,36,36,4,0.5,True
41,1,1,1,1,1,1,neither,40,3,20,2,40,1,5,10,10,24,14,2,0.631578947368421,False
43,3,3,3,3,-1,-1,DI,88,3,44,2,42,-1,5,0,0,43,43,2,0.5,True
47,3,2,7,7,-1,-1,DI,32,5,16,2,46,-1,7,0,0,15,15,2,0.5,True
53,1,3,5,13,1,-1,fib_only,108,2,27,4,23,-1,0,0,0,52,52,4,0.5,True
59,3,4,3,19,-1,1,cm_only,58,1,58,1,1,1,-1,-1,1,28,29,1,0.49122807017543857,False
61,1,1,5,1,1,1,neither,60,2,15,4,11,-1,0,0,0,28,28,4,0.5,True
67,3,2,3,7,-1,-1,DI,136,3,68,2,66,-1,3,0,0,67,67,2,0.5,True
71,3,1,7,11,-1,1,cm_only,70,1,70,1,1,1,1,1,1,35,34,1,0.5072463768115942,False
73,1,3,1,13,1,-1,fib_only,148,2,37,4,27,1,8,32,32,88,56,4,0.6111111111111112,False
79,3,4,7,19,-1,1,cm_only,78,1,78,1,1,1,-1,-1,1,38,39,1,0.4935064935064935,False
83,3,3,3,3,-1,-1,DI,168,3,84,2,82,-1,-3,0,0,83,83,2,0.5,True
89,1,4,1,9,1,1,neither,44,2,11,4,55,1,6,24,24,32,8,4,0.8,False
97,1,2,1,17,1,-1,fib_only,196,2,49,4,75,1,-4,-16,16,88,104,4,0.4583333333333333,False
101,1,1,5,1,1,1,neither,50,1,50,1,1,1,-1,-1,1,24,25,1,0.4897959183673469,False
